Aerolinea,Origen,Destino,Número de vuelos,Precio medio,Duración media del vuelo,Número promedio de escalas,Promedio días de antelación,Porcentaje de vuelos business,Número de vuelos_log,Precio medio_log,Duración media del vuelo_log,Promedio días de antelación_log,Número de vuelos_log_log,Precio medio_log_log,Duración media del vuelo_log_log,Promedio días de antelación_log_log
Air India,Ahmedabad,Mumbai,39,257.4896923076923,7.24722282051282,1.0,1.205128205128205,0.10256410256410256,3.6888794541139363,5.554855818134856,2.1098765158580997,0.7907856501238613,1.5451936315479267,1.8802061212658754,1.134583019890993,0.5826544342432659
Vistara,Kolkata,Bangalore,4655,371.57263157894914,15.63238630504819,1.1108485499462943,24.83609022556391,0.46960257787325455,8.445911989411274,5.920432002917246,2.811351776900227,3.251772360406113,2.245582054196905,1.9344781958482533,1.3379839232996804,1.4473359219830688
Vistara,Ahmedabad,Bangalore,237,358.48559071729966,6.04201772151899,1.0,1.6624472573839664,0.18565400843881857,5.472270673671475,5.884674094903854,1.9518947372759865,0.979245721406082,1.867527001142399,1.9292977955343096,1.0824472479981202,0.6827158233422153
Air India,Delhi,Chennai,178,335.6456573033712,5.475327584269663,0.8651685393258427,1.6741573033707864,0.4887640449438202,5.187385805840755,5.81903091517059,1.86799919847106,0.9836343039393348,1.8225126721028055,1.919717367209217,1.0536146432642037,0.6849306692619584
Air India,Chennai,Delhi,208,308.0801201923076,5.21318096153846,0.8846153846153846,1.6826923076923077,0.46634615384615385,5.342334251964811,5.733600531936498,1.826672996931089,0.9868208826799929,1.8472468792313919,1.9071099979125676,1.0391004006135325,0.6865358149065083
Vistara,Chennai,Kolkata,3098,346.17190574564086,17.098595890897037,1.0071013557133635,24.597159457714653,0.4289864428663654,8.038834757787749,5.849820062881049,2.8958343601741157,3.2424813866461255,2.2015302676211563,1.9242223837365713,1.3599078695207656,1.4451483307615522
Air India,Mumbai,Hyderabad,140,326.2804285714285,8.050536,0.9714285714285714,1.7214285714285715,0.49285714285714294,4.948759890378168,5.790817383114995,2.2028239824773506,1.0011569525173967,1.783182776049518,1.9155713147547695,1.1640329151605033,0.6937254895657509
Vistara,Kolkata,Hyderabad,3479,351.714282552457,16.46004119287176,1.0583501006036218,25.622592699051452,0.4696751940212705,8.15478757276852,5.865658331325589,2.859914909679679,3.2817602048828007,2.214276974445858,1.926531931392066,1.3506451391093288,1.4543641878714144
Air India,Bangalore,Kolkata,120,396.3147833333333,6.618472333333329,1.0,1.7916666666666665,0.49166666666666664,4.795790545596741,5.984728871625738,2.030575868409663,1.0266387890430204,1.757131886054717,1.9437261761539602,1.108752657043751,0.7063786518089551
Vistara,Chennai,Bangalore,4083,310.36665760469964,14.402389975508019,1.1146216017634092,25.331863825618417,0.45530247367132015,8.314832179284556,5.740971181106849,2.7345226905931685,3.270779758151366,2.2316079877113935,1.90820400669629,1.317620016735251,1.4517964237189842
Air India,Hyderabad,Kolkata,80,352.03066249999966,5.522291500000001,0.9625,1.6375,0.45,4.394449154672439,5.866554915767191,1.8752257712472127,0.9698314988021849,1.6853704905634923,1.92666251259216,1.0561312002955283,0.6779480054887381
Air India,Mumbai,Kolkata,139,374.9435467625898,6.408633381294967,0.9424460431654677,1.6690647482014387,0.5179856115107914,4.941642422609304,5.929438990528661,2.0026459933238425,0.9817281294767433,1.781985597277665,1.9357788561772125,1.0994938977112434,0.6839692567094242
Vistara,Chennai,Delhi,4330,341.8630461893746,11.468316020785398,0.9145496535796767,25.321016166281755,0.47344110854503463,8.373553741214627,5.837331085184838,2.523190708133872,3.270367713853245,2.237892292352231,1.922397463265226,1.2593670302056297,1.4516999391892906
Vistara,Kolkata,Delhi,3289,374.9034387351718,12.524807430830164,0.849802371541502,24.504712678625722,0.4597141988446336,8.098642843759418,5.929332298533535,2.6045255866149297,3.238863246015444,2.208125264352204,1.9357634591419481,1.2821901633571882,1.444295130943157
Air India,Bangalore,Mumbai,181,326.2132044198896,5.269384254143649,0.9171270718232044,1.6243093922651934,0.43646408839779005,5.204006687076795,5.7906119597208265,1.8356781447416368,0.9648177727688154,1.8251953231790878,1.9155410641251782,1.0422811130692864,0.6753995045165094
Air India,Kolkata,Delhi,134,329.17360447761206,7.745895597014929,0.8880597014925373,1.5895522388059702,0.39552238805970147,4.90527477843843,5.7996185903066015,2.1685845156927392,0.9514849799959478,1.775845981748474,1.9168665209481832,1.1532849631491433,0.6685906109632294
Air India,Mumbai,Bangalore,163,345.53361963190184,4.101329570552147,0.9202453987730062,1.6503067484662577,0.4601226993865031,5.099866427824199,5.847979840277901,1.6295012058621758,0.9746753874373479,1.8082668738615209,1.9239536949504554,0.9667941726370695,0.6804040240531539
Air India,Chennai,Ahmedabad,64,337.65599999999995,7.595182343750004,1.0,1.703125,0.46875,4.174387269895637,5.824984842911314,2.151201853705762,0.9944085111381071,1.6437209301888343,1.9205901202497022,1.147783920928309,0.6903475207362095
Air India,Kolkata,Bangalore,110,392.5928,7.329924636363632,1.0,1.709090909090909,0.45454545454545453,4.709530201312334,5.975316872327858,2.1198544088825586,0.9966131207129882,1.742136743805324,1.9423777563999547,1.1377863369129084,0.6914523054266872
Air India,Delhi,Kolkata,123,322.9328130081301,6.307180406504064,0.9105691056910569,1.7154471544715446,0.38211382113821135,4.820281565605037,5.780536127029909,1.9888574820491278,0.9989566376042829,1.7613486395430595,1.9140561736092307,1.094891201351762,0.6926253632391067
Air India,Delhi,Bangalore,186,301.2072634408602,5.690233494623655,0.8494623655913979,1.682795698924731,0.46236559139784944,5.231108616854587,5.711113084761116,1.900648775567496,0.9868594220383173,1.8295542650992234,1.9037648216914278,1.0649344276847295,0.6865552122185063
Air India,Hyderabad,Mumbai,120,274.3101166666665,5.212015583333332,0.9416666666666667,1.6083333333333334,0.325,4.795790545596741,5.6178981592636665,1.8264854138688273,0.9587114477581072,1.757131886054717,1.8897778209349105,1.039034036627704,0.6722868324308929
Vistara,Bangalore,Chennai,4140,290.695472463772,14.996648565217178,1.0729468599033816,25.282608695652176,0.41352657004830917,8.328692583545568,5.67571035554572,2.772379235625066,3.268907454125698,2.233094874659105,1.898475618930549,1.3277058993847402,1.451357928957027
Air India,Delhi,Mumbai,224,318.450982142857,5.108928660714289,0.8482142857142857,1.6473214285714286,0.48660714285714285,5.41610040220442,5.766603841524318,1.8097514158640196,0.9735483471426856,1.8588105191644075,1.9119993128327353,1.0330960153271436,0.6798331139928129
Air India,Kolkata,Mumbai,108,294.0152314814815,5.896682222222222,0.9351851851851852,1.5277777777777777,0.3055555555555556,4.6913478822291435,5.687026987147542,1.9310404586047618,0.9273405680607401,1.7389471062414086,1.9001693788267517,1.0753574653198592,0.6561411086689509
Vistara,Kolkata,Mumbai,4658,372.1685197509651,12.889772069557363,0.9695148132245599,25.398454272219837,0.458995276942894,8.446556111816797,5.922030113193918,2.6311527469525164,3.2733054581434318,2.24565024247197,1.9347090955639783,1.2895501590088356,1.45238763974778
Air India,Chennai,Kolkata,118,381.82575423728815,5.381568050847459,0.9661016949152542,1.7203389830508473,0.4576271186440678,4.77912349311153,5.947579935887505,1.8534138431536262,1.0007564986643511,1.7542520263946595,1.9383933882736222,1.0485161171459894,0.6935253583738762
Vistara,Mumbai,Chennai,4803,360.4915227982541,13.418391274203687,1.0480949406620863,24.40474703310431,0.46491775973349986,8.477204183199873,5.890238591249876,2.6685045635114895,3.23493604762963,2.248889355386267,1.930105713054439,1.2997841031431947,1.4433682270760968
Vistara,Ahmedabad,Chennai,123,437.976,5.152168130081302,1.0,1.6829268292682928,0.25203252032520324,4.820281565605037,6.084444741876856,1.816804561166916,0.9869082990881085,1.7613486395430595,1.9579014991296118,1.0356031081299437,0.6865798120709505
Air India,Bangalore,Hyderabad,91,455.72335164835147,7.039468791208787,0.978021978021978,1.5274725274725274,0.7032967032967034,4.5217885770490405,6.124077850147976,2.0843630102629316,0.9272198024063453,1.7087018253879918,1.9634802932380007,1.1263451563820406,0.6560784474869601
Air India,Bangalore,Delhi,175,283.75687999999985,5.166619199999998,0.8285714285714285,1.6800000000000002,0.46857142857142864,5.170483995038151,5.651635763580621,1.8191507460892473,0.9858167945227654,1.8197772781208725,1.8948628039055768,1.0364356857250283,0.6860303128898653
Vistara,Delhi,Kolkata,4108,393.30428042843187,14.416530606134502,0.9965920155793574,24.987828627069135,0.48271665043816936,8.32093496888341,5.9771228965904,2.735440349703347,3.2576282986864427,2.2322629422156526,1.9426366393340566,1.3178657098156166,1.44871226784792
Vistara,Chennai,Hyderabad,3214,318.52504542625843,16.056593556316027,1.1325451151213441,25.234909769757312,0.46639701306782827,8.07558263667172,5.766835660185857,2.8365368478185804,3.2670909578248635,2.2055875804780976,1.9120335714794794,1.3445700971296866,1.450932320553513
Air India,Delhi,Hyderabad,121,297.5697272727273,4.583334545454545,0.8760330578512396,1.8512396694214877,0.4462809917355372,4.804021044733257,5.699003497757688,1.7197861866992787,1.0477538714346186,1.7585509609170318,1.9019587836573104,1.000553269387001,0.7167435199915058
Vistara,Bangalore,Delhi,5723,319.00333356631324,9.892709264371703,0.8595142407828062,24.51528918399441,0.48838022016424953,8.652423140676342,5.7683314131342405,2.388093690610246,3.2392778483335176,2.267208986490659,1.912254588766724,1.220267430070453,1.4443929359487095
Vistara,Delhi,Mumbai,6205,296.7746673650283,10.015111450443069,0.7616438356164383,24.035132957292507,0.4887993553585817,8.733271845008325,5.69633705069818,2.399268098264224,3.2202801566243067,2.275550103292507,1.9015606680461274,1.2235601432328287,1.4399015136700113
Vistara,Hyderabad,Delhi,3848,266.8978149688145,11.135109132016847,0.8692827442827443,24.73180873180873,0.41138253638253636,8.255568653283746,5.590605620372526,2.496102832299795,3.247727920434261,2.2252253869562693,1.8856452441966622,1.2516488716340946,1.4463842330264305
Air India,Chennai,Hyderabad,100,347.4392899999999,8.017834100000002,1.0,1.63,0.48,4.61512051684126,5.853464011295073,2.1992041832894214,0.9669838461896731,1.7254630513334037,1.9247542195330403,1.1629020861544621,0.6765013269632728
Vistara,Hyderabad,Chennai,3223,318.73784207260087,15.59967423518443,1.0440583307477505,25.405212534905367,0.4669562519391871,8.07837810362652,5.767501416507281,2.809383070783457,3.273561435166661,2.2058955537096017,1.9121319518165716,1.3374672523486726,1.4524475393639786
Air India,Kolkata,Ahmedabad,34,394.884794117647,3.6480420588235294,1.0,2.264705882352941,0.6176470588235294,3.5553480614894135,5.981123244982564,1.536446068308913,1.1831696766961728,1.5163019408528369,1.9432098271774454,0.9307639155509433,0.7807778009312225
Vistara,Hyderabad,Kolkata,3444,342.1115444250867,15.591894099883662,1.0824622531939605,25.73780487804878,0.45412311265969796,8.144679183447758,5.838055596704599,2.80891426886577,3.2860784769820848,2.213172200139202,1.9225034217345978,1.33734417972565,1.455372206958906
Vistara,Mumbai,Hyderabad,5197,328.08911314219677,12.796800992880272,0.9697902636136232,24.31498941697133,0.45834135077929583,8.556029215201436,5.796328574703838,2.6244367531804533,3.2313966873681146,2.257172286721493,1.9163825508904815,1.2876988978011805,1.4425321246977738
Vistara,Kolkata,Chennai,2943,349.0267179748549,16.989843149847047,1.052667346245328,24.391097519537887,0.43662928984029903,7.987524479848767,5.858009488640947,2.8898073291833017,3.2343986212312634,2.1958374468096604,1.9254172376269612,1.3583596266307851,1.4432413159502293
Vistara,Ahmedabad,Delhi,234,322.6983034188034,5.432230128205129,0.905982905982906,1.6111111111111112,0.1581196581196581,5.459585514144159,5.779811919703769,1.8613213098754822,0.9597758438138939,1.865565153838859,1.9139493611108593,1.0512835146042137,0.6728301013011302
Vistara,Delhi,Hyderabad,4275,266.4999445614044,12.930978523976764,0.8893567251461988,24.292397660818715,0.4025730994152047,8.360773272144936,5.589119359088953,2.6341150311233563,3.23050386286332,2.236527901622506,1.8854197066695608,1.2903656236071082,1.442321102480529
Air India,Hyderabad,Chennai,114,317.14736842105253,4.44027798245614,1.0,1.6491228070175439,0.34210526315789475,4.74493212836325,5.76251469814075,1.6938301592785074,0.9742285689803742,1.748318097194945,1.9113948176476132,0.9909640319319575,0.6801777240652018
Air India,Bangalore,Ahmedabad,52,298.2468076923076,3.0092951923076927,1.0,1.6346153846153846,0.3653846153846153,3.970291913552122,5.701268676686304,1.3886154633536516,0.9687372072466975,1.603478573504849,1.9022968632008754,0.8707138940458754,0.6773923256642553
Vistara,Ahmedabad,Hyderabad,65,374.22220000000004,6.926153230769231,1.0,1.4,0.23076923076923075,4.189654742026425,5.927518383825183,2.0701678272547523,0.8754687373538999,1.6466671712706678,1.9355016514974417,1.1217322269631531,0.6288586214346804
